BR,run,Weeks,Cc,Cm,Ac
0,7,25,15,69,130
0,7,26,2,66,102
0,7,27,0,86,51
0,7,28,1,117,63
0,7,29,0,98,79
0,7,30,NA,145,90
0,7,31,NA,124,9
0,7,32,NA,153,72
0,7,33,NA,NA,NA
0,7,34,NA,NA,NA
0,7,35,NA,NA,NA
0,7,36,NA,NA,NA
0,7,37,NA,NA,NA
0,7,38,NA,NA,NA
0,7,39,NA,NA,NA
0,7,40,NA,NA,NA
0,7,41,NA,NA,NA
0,7,42,NA,NA,NA
0,7,43,NA,NA,NA
0,7,44,NA,NA,NA
0,7,45,NA,NA,NA
0,7,46,NA,NA,NA
0,7,47,NA,NA,NA
0,7,48,NA,NA,NA
0,7,49,NA,NA,NA
0,7,50,NA,NA,NA
0,7,51,NA,NA,NA
0,7,52,NA,NA,NA
0,7,53,NA,NA,NA
0,7,54,NA,NA,NA
0,7,55,NA,NA,NA
0,7,56,NA,NA,NA
0,7,57,NA,NA,NA
0,7,58,NA,NA,NA
0,7,59,NA,NA,NA
0,7,60,NA,NA,NA
0,7,61,NA,NA,NA
0,7,62,NA,NA,NA
0,7,63,NA,NA,NA
0,7,64,NA,NA,NA
0,7,65,NA,NA,NA
0,7,66,NA,NA,NA
0,7,67,NA,NA,NA
0,7,68,NA,NA,NA
0,7,69,NA,NA,NA
0,7,70,NA,NA,NA
0,7,71,NA,NA,NA
0,7,72,NA,NA,NA
0,7,73,NA,NA,NA
0,7,74,NA,NA,NA
0,7,75,NA,NA,NA
0,7,76,NA,NA,NA
0,7,77,NA,NA,NA
0,7,78,NA,NA,NA
0,7,79,NA,NA,NA
0,7,80,NA,NA,NA
0,7,81,NA,NA,NA
0,7,82,NA,NA,NA
0,7,83,NA,NA,NA
0,7,84,NA,NA,NA
0,7,85,NA,NA,NA
0,7,86,NA,NA,NA
0,7,87,NA,NA,NA
0,7,88,NA,NA,NA
0,7,89,NA,NA,NA
0,7,90,NA,NA,NA
0,7,91,NA,NA,NA
0,7,92,NA,NA,NA
0,7,93,NA,NA,NA
0,7,94,NA,NA,NA
0,7,95,NA,NA,NA
0,7,96,NA,NA,NA
0,7,97,NA,NA,NA
0,7,98,NA,NA,NA
0,7,99,NA,NA,NA
0,7,100,NA,NA,NA
0,7,101,NA,NA,NA
0.2,8,1,20,20,NA
0.2,8,2,21,18,NA
