rec,theta,rho,don,c_mean,c_sd,dd_est,dd_sd,p_value1,p_value2
Tridentiger_trigonocephalus,0,0.3891304199084725,Acentrogobius_pflaumii,0.32773774005532,0.042042331723165884,-0.006519762996749425,0.02094664763982957,5.494172966906486e-175,0.7559439440121106
Tridentiger_trigonocephalus,0,0.3891304199084725,Sebastes_inermis,0.004379041281106318,0.0077075791596768195,0.01700814823905295,0.0036396942313925863,1.9078573552445829e-13,5.576604874376422e-6
Acentrogobius_pflaumii,NA,NA,Tridentiger_trigonocephalus,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Sebastes_inermis,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Pseudolabrus_sieboldi,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Rudarius_ercodes,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Takifugu_poecilonotus,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Acanthopagrus_schlegelii,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Halichoeres_poecilopterus,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Takifugu_niphobles,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Halichoeres_tenuispinnis,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Girella_punctata,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Trachurus_japonicus,NA,NA,NA,NA,NA,NA
Acentrogobius_pflaumii,NA,NA,Pterogobius_zonoleucus,NA,NA,NA,NA,NA,NA
Sebastes_inermis,4,0.5714086347300757,Halichoeres_poecilopterus,0.3719253368423631,0.07352903078205639,0.09441883116039632,0.031132579985600744,8.705646664317561e-142,0.0027526069689267013
Sebastes_inermis,4,0.5714086347300757,Tridentiger_trigonocephalus,-0.1187104522429814,0.06134451890656265,-0.14769859038079114,0.024383961875060076,2.320705136742192e-68,7.006380801029961e-9
Pseudolabrus_sieboldi,5,0.5836391323228745,Acanthopagrus_schlegelii,0.24548871602573183,0.09645716222964486,-0.2529694790322736,0.030397940364288424,5.2870465575345204e-86,1.623621573106123e-14
Pseudolabrus_sieboldi,5,0.5836391323228745,Acentrogobius_pflaumii,-1.181472589909577e-4,0.03697982830711387,-0.03822600457986583,0.01331954238042795,0.9646435484768898,0.0045685284154806756
Pseudolabrus_sieboldi,5,0.5836391323228745,Rudarius_ercodes,-0.26091623999853925,0.2937369973788915,0.5292495200072946,0.10104296753162197,3.868056550343487e-26,4.2683850800645674e-7
